1,2,3,4,5,6,7,8,9,10,Prg,Total1,Total2,Year,Month,Pass/Fail
2,1,3,3,2,1,0,3,1,0,N,12,4,2022,3,P
2,1,0,0,0,0,0,0,0,0,V,3,0,2022,3,U
2,1,0,0,1,2,0,0,0,0,V,6,0,2022,3,U
2,2,3,1,0,2,0,0,0,0,V,10,0,2022,3,P
2,1,0,0,0,0,0,0,0,0,C,3,0,2022,3,U
3,3,3,3,3,3,3,1,0,0,N,18,4,2022,3,P
3,1,3,3,3,1,0,0,0,0,N,14,0,2022,3,P
3,3,3,3,3,3,3,3,1,0,B,18,7,2022,3,P
3,2,1,1,0,1,1,3,0,0,K,8,4,2022,3,U
2,0,3,1,0,2,0,0,0,0,I,8,0,2022,3,U
2,1,3,2,2,0,0,0,0,0,B,10,0,2022,3,P
3,3,3,3,3,1,0,3,0,0,K,16,3,2022,3,P
1,1,1,0,0,2,0,0,0,0,B,5,0,2022,3,U
2,3,3,3,3,2,2,0,0,0,B,16,2,2022,3,P
1,0,0,0,0,0,0,0,0,0,V,1,0,2022,3,U
3,2,3,0,0,1,0,0,0,0,L,9,0,2022,3,U
2,2,3,3,3,3,0,0,0,0,B,16,0,2022,3,P
3,1,3,3,2,2,0,0,0,0,B,14,0,2022,3,P
2,1,1,0,3,0,0,0,0,0,N,7,0,2022,3,U
1,0,1,0,3,1,0,0,0,0,E,6,0,2022,3,U
0,1,1,0,0,1,0,0,0,0,N,3,0,2022,3,U
2,1,3,3,0,2,0,0,0,0,V,11,0,2022,3,P
2,1,3,3,0,2,0,0,0,0,V,11,0,2022,3,P
1,2,3,3,3,1,2,0,0,0,E,13,2,2022,3,P
3,1,3,3,3,2,0,0,1,0,B,15,1,2022,3,P
3,0,3,3,3,2,3,0,1,0,W,14,4,2022,3,P
3,1,3,3,2,2,3,0,1,0,L,14,4,2022,3,P
0,1,0,0,0,0,0,0,0,0,Bi,1,0,2022,3,U
2,1,1,3,0,2,0,0,0,0,L,9,0,2022,3,P
1,1,2,0,0,1,0,0,0,0,E,5,0,2022,3,U
1,1,1,1,0,1,0,0,0,0,E,5,0,2022,3,U
3,1,3,3,3,2,0,0,0,0,W,15,0,2022,3,P
1,0,1,0,0,1,0,0,0,0,K,3,0,2022,3,U
2,1,0,0,3,1,0,0,0,0,C,7,0,2022,3,U
0,0,0,0,0,0,0,0,0,0,Bi,0,0,2022,3,U
2,1,3,0,3,0,0,0,0,0,L,9,0,2022,3,U
3,3,3,2,3,2,0,1,0,0,W,16,1,2022,3,P
1,0,0,1,3,0,0,0,0,0,E,5,0,2022,3,U
2,1,3,3,0,1,0,0,0,0,E,10,0,2022,3,P
3,1,2,0,0,0,0,0,0,0,Bi,6,0,2022,3,U
3,1,0,3,0,2,0,0,0,0,L,9,0,2022,3,U
2,1,3,3,3,3,1,0,0,0,L,15,1,2022,3,P
1,2,3,3,2,1,2,2,3,0,E,12,7,2022,3,P
2,1,1,3,2,1,0,0,0,0,V,10,0,2022,3,P
3,1,0,3,3,2,0,0,0,0,V,12,0,2022,3,P
1,1,1,0,1,1,0,0,0,0,V,5,0,2022,3,U
3,1,3,3,3,0,0,0,0,0,V,13,0,2022,3,P
3,3,3,3,3,2,0,0,0,0,B,17,0,2022,3,P
1,1,3,3,3,2,0,0,0,0,V,13,0,2022,3,P
3,3,3,3,3,2,3,0,0,0,K,17,3,2022,3,P
2,2,3,3,3,2,0,0,0,0,E,15,0,2022,3,P
2,1,1,2,3,2,0,0,0,0,W,11,0,2022,3,P
3,3,3,3,3,2,0,3,0,0,B,17,3,2022,3,P
2,1,1,0,0,0,0,0,0,0,V,4,0,2022,3,U
3,2,3,0,3,2,2,0,0,0,W,13,2,2022,3,P
2,1,1,1,0,1,0,0,0,0,E,6,0,2022,3,U
1,1,0,0,0,1,0,0,0,0,N,3,0,2022,3,U
0,1,3,0,2,1,0,0,0,0,E,7,0,2022,3,U
3,3,3,3,3,3,1,0,3,0,B,18,4,2022,3,P
2,1,1,3,0,0,0,0,0,0,L,7,0,2022,3,U
3,3,3,3,3,2,0,0,0,0,B,17,0,2022,3,P
1,1,3,3,3,3,0,0,0,0,Bi,14,0,2022,3,P
3,3,3,3,3,3,3,3,3,0,B,18,9,2022,3,P
2,3,1,1,3,0,0,0,0,0,L,10,0,2022,3,P
3,3,2,3,3,2,1,3,0,0,B,16,4,2022,3,P
1,1,1,3,0,2,0,0,0,0,L,8,0,2022,3,U
2,3,3,3,3,0,0,2,0,0,V,14,2,2022,3,P
0,1,3,3,3,2,3,1,0,0,I,12,4,2022,3,P
3,2,3,3,3,3,0,0,0,0,E,17,0,2022,3,P
1,1,3,0,0,0,0,0,0,0,E,5,0,2022,3,U
0,3,1,0,2,2,0,0,0,0,L,8,0,2022,3,U
3,1,3,3,3,3,0,0,0,0,W,16,0,2022,3,P
3,3,3,3,1,2,1,0,0,0,-,15,1,2022,3,P
1,0,3,0,0,1,0,0,0,0,BME,5,0,2022,3,U
2,2,1,1,3,1,0,3,0,0,N,10,3,2022,3,P
3,3,3,3,3,2,1,1,0,0,W,17,2,2022,3,P
3,1,3,3,3,1,1,0,0,0,V,14,1,2022,3,P
3,1,3,2,3,2,0,0,0,0,V,14,0,2022,3,P
2,1,3,3,3,1,0,2,0,0,V,13,2,2022,3,P
3,2,3,2,3,2,0,0,0,0,V,15,0,2022,3,P
0,1,3,3,3,1,0,0,0,0,L,11,0,2022,3,P
3,3,3,3,3,0,3,1,0,0,W,15,4,2022,3,P
3,3,3,3,3,2,2,1,0,0,W,17,3,2022,3,P
2,1,3,3,1,2,0,0,0,0,E,12,0,2022,3,P
3,2,1,3,3,2,0,0,0,0,V,14,0,2022,3,P
2,1,0,3,3,2,0,0,0,0,E,11,0,2022,3,P
3,1,3,2,0,2,0,0,0,0,K,11,0,2022,3,P
3,0,3,0,0,0,0,0,0,0,K,6,0,2022,3,U
3,3,3,3,0,3,0,0,0,0,L,15,0,2022,3,P
3,2,3,0,1,1,0,0,0,0,L,10,0,2022,3,P
1,2,1,3,3,1,2,3,0,0,N,11,5,2022,3,P
2,2,1,3,3,0,0,0,0,0,V,11,0,2022,3,P
3,3,3,0,0,2,0,0,0,0,K,11,0,2022,3,U
3,1,0,3,0,2,0,0,0,0,Bi,9,0,2022,3,U
2,1,3,0,0,0,0,0,0,0,L,6,0,2022,3,U
2,1,2,1,0,1,0,0,0,0,L,7,0,2022,3,U
3,1,3,2,2,2,0,0,0,0,K,13,0,2022,3,P
1,1,3,3,3,2,0,0,0,0,W,13,0,2022,3,P
2,2,3,1,3,2,0,0,0,0,W,13,0,2022,3,P
3,2,1,3,3,3,2,0,0,0,W,15,2,2022,3,P
1,0,1,0,1,0,0,0,0,0,I,3,0,2022,3,U
2,2,1,0,3,0,0,0,0,0,K,8,0,2022,3,U
3,1,3,0,3,1,0,0,0,0,K,11,0,2022,3,P
3,1,3,3,3,2,0,0,0,0,L,15,0,2022,3,P
0,1,0,0,0,0,0,0,0,0,V,1,0,2022,3,U
2,1,2,2,3,2,0,0,0,0,V,12,0,2022,3,P
1,1,0,0,0,2,0,0,0,0,L,4,0,2022,3,U
2,1,3,0,3,1,0,0,0,0,K,10,0,2022,3,P
1,0,0,0,2,0,0,0,0,0,N,3,0,2022,3,U
1,2,1,2,3,0,0,0,0,0,W,9,0,2022,3,P
3,2,3,3,0,3,0,0,0,0,B,14,0,2022,3,P
2,1,2,0,2,2,0,0,0,0,V,9,0,2022,3,P
3,2,1,3,3,2,2,1,0,0,B,14,3,2022,3,P
3,2,3,3,3,2,0,0,1,0,W,16,1,2022,3,P
2,2,1,2,3,1,0,0,0,0,V,11,0,2022,3,P
3,3,3,3,3,2,3,1,1,0,Bi,17,5,2022,3,P
0,0,2,0,0,0,0,0,0,0,W,2,0,2022,3,U
2,1,3,3,2,1,1,0,0,0,V,12,1,2022,3,P
2,0,3,0,3,1,0,0,0,0,W,9,0,2022,3,U
3,2,2,1,0,0,0,0,0,0,Bi,8,0,2022,3,U
1,1,1,1,2,1,0,0,0,0,D,7,0,2022,3,U
2,1,2,0,3,1,0,0,0,0,B,9,0,2022,3,P
1,1,3,2,3,1,0,0,0,0,Bi,11,0,2022,3,P
2,1,0,2,3,0,0,0,0,0,L,8,0,2022,3,U
0,0,0,0,0,0,0,0,0,0,V,0,0,2022,3,U
2,3,3,3,3,2,0,0,0,0,Bi,16,0,2022,3,P
3,1,3,3,3,0,0,0,0,0,K,13,0,2022,3,P
2,2,1,2,0,2,0,0,0,0,V,9,0,2022,3,P
2,1,2,2,2,0,0,0,0,0,K,9,0,2022,3,P
3,2,1,3,3,3,0,0,0,0,B,15,0,2022,3,P
2,0,1,2,0,2,0,0,0,0,W,7,0,2022,3,U
1,1,3,0,3,1,0,0,0,0,B,9,0,2022,3,P
1,1,1,1,2,1,0,0,0,0,C,7,0,2022,3,U
3,2,3,3,3,0,0,0,0,0,B,14,0,2022,3,P
1,1,0,0,0,0,0,0,0,0,L,2,0,2022,3,U
2,2,2,1,3,0,0,0,0,0,N,10,0,2022,3,P
2,3,3,3,2,1,0,2,0,0,N,14,2,2022,3,P
1,2,3,3,3,3,3,3,1,0,F,15,7,2022,3,P
0,0,1,0,0,0,0,0,0,0,L,1,0,2022,3,U
0,0,1,0,0,0,0,0,0,0,V,1,0,2022,3,U
1,2,2,0,0,0,0,0,0,0,L,5,0,2022,3,U
0,3,1,3,3,2,0,2,0,0,V,12,2,2022,3,P
2,2,1,0,1,0,0,0,0,0,V,6,0,2022,3,U
2,2,3,3,3,2,1,0,0,0,E,15,1,2022,3,P
1,2,3,1,3,0,0,0,0,0,L,10,0,2022,3,P
2,1,1,3,3,2,0,0,0,0,V,12,0,2022,3,P
2,1,3,3,3,1,0,0,0,0,V,13,0,2022,3,P
2,0,1,0,3,0,0,0,0,0,L,6,0,2022,3,U
2,1,1,1,0,1,0,0,0,0,B,6,0,2022,3,U
3,2,0,1,3,3,3,3,0,0,I,12,6,2022,3,P
3,2,3,2,2,2,1,2,0,0,V,14,3,2022,3,P
3,1,3,3,3,3,0,0,0,0,E,16,0,2022,3,P
0,1,2,0,2,1,0,0,0,0,V,6,0,2022,3,U
3,1,2,0,1,2,0,0,0,0,V,9,0,2022,3,P
3,2,3,3,0,0,0,0,0,0,V,11,0,2022,3,U
2,2,1,3,3,2,0,0,0,0,I,13,0,2022,3,P
3,2,3,3,3,3,0,1,0,0,V,17,1,2022,3,P
3,3,3,3,3,3,3,3,2,0,V,18,8,2022,3,P
1,1,3,3,2,1,0,0,0,0,-,11,0,2022,3,P
0,1,1,3,3,1,0,0,0,0,V,9,0,2022,3,P
0,1,0,0,0,0,0,0,0,0,V,1,0,2022,3,U
1,2,3,3,0,1,0,0,0,0,V,10,0,2022,3,P
0,0,0,0,0,0,0,0,0,0,V,0,0,2022,3,U
2,1,1,1,0,0,0,0,0,0,Bi,5,0,2022,3,U
0,1,3,0,0,0,0,0,0,0,E,4,0,2022,3,U
0,0,0,0,0,0,0,0,0,0,B,0,0,2022,3,U
3,3,3,3,2,1,0,0,0,0,V,15,0,2022,3,P
3,2,3,3,0,1,0,0,0,0,V,12,0,2022,3,P
3,3,3,3,3,3,3,3,0,0,B,18,6,2022,3,P
3,3,3,2,3,1,0,0,0,0,E,15,0,2022,3,P
1,0,1,0,3,0,0,0,0,0,V,5,0,2022,3,U
1,0,0,0,0,0,0,0,0,0,E,1,0,2022,3,U
3,1,3,3,3,2,0,0,0,0,W,15,0,2022,3,P
3,2,1,2,3,1,3,0,0,0,E,12,3,2022,3,P
3,2,1,1,0,2,0,0,0,0,N,9,0,2022,3,P
0,2,1,0,0,1,0,0,0,0,V,4,0,2022,3,U
0,2,3,2,1,1,0,0,0,0,N,9,0,2022,3,P
1,1,2,0,0,2,0,0,0,0,E,6,0,2022,3,U
0,1,3,0,0,2,0,0,0,0,N,6,0,2022,3,U
3,1,3,2,2,2,0,0,0,0,W,13,0,2022,3,P
3,3,3,3,3,3,0,0,0,0,V,18,0,2022,3,P
3,3,3,3,3,3,0,0,0,0,V,18,0,2022,3,P
1,1,3,1,0,2,0,0,0,0,W,8,0,2022,3,U
3,1,3,3,1,1,0,3,0,0,B,12,3,2022,3,P
1,1,3,2,0,0,0,0,0,0,Bi,7,0,2022,3,U
3,2,3,3,3,1,1,1,0,0,K,15,2,2022,3,P
1,0,0,2,0,0,0,0,0,0,E,3,0,2022,3,U
3,2,3,3,3,1,0,0,0,0,Bi,15,0,2022,3,P
1,2,2,0,3,1,0,0,0,0,E,9,0,2022,3,P
2,2,3,0,3,1,0,0,0,0,V,11,0,2022,3,P
1,3,3,3,3,2,0,0,0,0,D,15,0,2022,3,P
3,3,3,3,3,2,0,3,0,0,B,17,3,2022,3,P
1,1,3,3,3,1,0,0,0,0,V,12,0,2022,3,P
1,2,1,0,3,2,0,0,0,0,V,9,0,2022,3,P
3,1,3,3,0,0,0,0,0,0,Bi,10,0,2022,3,U
3,3,3,3,3,0,0,0,0,0,L,15,0,2022,3,P
1,2,0,0,0,2,1,0,0,0,L,5,1,2022,3,U
0,1,3,3,1,1,0,0,0,0,V,9,0,2022,3,P
2,2,3,2,3,0,3,0,0,0,K,12,3,2022,3,P
1,3,1,1,0,3,0,0,0,0,L,9,0,2022,3,P
1,3,2,0,2,1,0,0,0,0,W,9,0,2022,3,P
0,1,0,0,0,0,0,0,0,0,V,1,0,2022,3,U
3,3,3,1,3,2,0,0,0,0,W,15,0,2022,3,P
1,0,0,0,0,0,0,0,0,0,V,1,0,2022,3,U
3,3,3,3,3,3,3,3,3,1,N,18,10,2022,3,P
0,2,0,1,1,1,0,0,0,0,L,5,0,2022,3,U
0,0,0,0,0,0,0,0,0,0,C,0,0,2022,3,U
1,2,3,3,0,2,0,0,0,0,W,11,0,2022,3,P
2,2,3,0,1,1,0,0,0,0,K,9,0,2022,3,P
1,1,3,2,0,2,0,0,0,0,-,9,0,2022,3,P
2,2,3,2,3,2,0,0,0,0,W,14,0,2022,3,P
2,1,3,2,0,2,0,0,0,0,V,10,0,2022,3,P
3,2,3,0,2,3,0,0,0,0,B,13,0,2022,3,P
0,0,0,0,0,0,0,0,0,0,E,0,0,2022,3,U
1,0,3,0,0,1,0,0,0,0,MDI,5,0,2022,3,U
3,2,3,3,3,3,2,0,0,0,B,17,2,2022,3,P
3,3,3,2,3,2,3,3,1,0,W,16,7,2022,3,P
3,3,3,3,3,2,2,2,0,0,B,17,4,2022,3,P
1,2,1,3,3,2,0,0,0,0,MDI,12,0,2022,3,P
3,3,3,3,3,3,0,0,0,0,Bi,18,0,2022,3,P
2,2,3,0,3,2,0,0,0,0,E,12,0,2022,3,P
1,1,3,2,3,0,1,0,0,0,Bi,10,1,2022,3,P
2,2,1,3,3,3,3,3,2,0,B,14,8,2022,3,P
3,3,3,3,3,3,3,3,1,0,B,18,7,2022,3,P
3,1,1,0,3,2,0,0,0,0,K,10,0,2022,3,P
3,2,3,3,3,0,0,0,0,0,V,14,0,2022,3,P
2,0,0,0,3,1,0,0,0,0,V,6,0,2022,3,U
1,1,0,0,0,0,0,0,0,0,V,2,0,2022,3,U
1,3,3,3,3,1,0,2,0,0,E,14,2,2022,3,P
3,2,3,3,3,2,0,0,0,0,W,16,0,2022,3,P
3,3,3,3,3,3,2,1,0,0,-,18,3,2022,3,P
0,1,3,0,0,0,0,0,0,0,V,4,0,2022,3,U
1,2,3,0,3,0,0,0,0,0,Bi,9,0,2022,3,U
0,1,3,0,0,1,0,0,0,0,V,5,0,2022,3,U
2,1,0,3,0,2,0,0,0,0,V,8,0,2022,3,U
0,1,0,0,0,0,0,0,0,0,N,1,0,2022,3,U
2,1,0,3,3,0,0,0,0,0,V,9,0,2022,3,U
3,1,3,3,3,1,0,0,0,0,L,14,0,2022,3,P
3,3,3,2,3,2,0,0,0,0,L,16,0,2022,3,P
0,3,3,3,0,1,0,0,0,0,V,10,0,2022,3,U
0,0,0,0,0,0,0,0,0,0,Bi,0,0,2022,3,U
2,2,3,3,3,1,0,0,0,0,B,14,0,2022,3,P
2,1,3,3,3,2,0,0,0,0,K,14,0,2022,3,P
2,3,1,0,3,2,0,0,0,0,B,11,0,2022,3,P
1,1,0,0,2,0,0,0,0,0,V,4,0,2022,3,U
3,3,3,2,3,3,1,0,2,0,B,17,3,2022,3,P
3,2,1,3,3,1,0,2,0,0,W,13,2,2022,3,P
3,3,3,1,3,2,2,3,0,0,B,15,5,2022,3,P
3,2,3,1,3,1,0,0,0,0,B,13,0,2022,3,P
1,1,0,0,0,2,0,0,0,0,V,4,0,2022,3,U
3,2,3,3,3,0,1,1,0,0,V,14,2,2022,3,P
0,0,0,0,0,0,0,0,0,0,E,0,0,2022,3,U
2,1,3,3,3,1,0,0,0,0,K,13,0,2022,3,P
1,3,3,0,0,0,0,0,0,0,Bi,7,0,2022,3,U
0,0,0,0,0,0,0,0,0,0,L,0,0,2022,3,U
0,1,0,2,0,1,0,0,0,0,E,4,0,2022,3,U
0,1,3,3,2,2,1,1,0,0,I,11,2,2022,3,P
3,3,3,3,0,2,0,0,0,0,W,14,0,2022,3,P
1,0,1,0,0,0,0,0,0,0,M,2,0,2022,3,U
3,2,3,2,3,2,0,0,0,0,E,15,0,2022,3,P
0,2,0,0,0,1,0,0,0,0,E,3,0,2022,3,U
0,1,2,0,3,0,0,0,0,0,E,6,0,2022,3,U
1,2,3,0,3,2,0,1,0,0,N,11,1,2022,3,P
3,3,3,3,2,3,2,3,0,0,W,17,5,2022,3,P
0,0,1,0,0,1,0,0,0,0,V,2,0,2022,3,U
2,0,2,3,3,1,0,0,0,0,V,11,0,2022,3,P
0,0,0,0,0,0,0,0,0,0,B,0,0,2022,3,U
0,3,3,3,0,2,0,0,0,0,N,11,0,2022,3,U
2,3,1,2,0,2,3,3,0,0,N,10,6,2022,3,P
3,2,2,3,3,2,0,0,0,0,W,15,0,2022,3,P
2,0,3,0,0,0,0,0,0,0,B,5,0,2022,3,U
3,2,3,3,3,3,3,2,1,0,B,17,6,2022,3,P
2,2,3,3,3,0,2,0,0,0,E,13,2,2022,3,P
2,3,3,3,3,3,3,0,0,0,E,17,3,2022,3,P
3,1,0,2,0,1,0,0,0,0,BI,7,0,2022,3,U
2,3,3,3,3,3,2,2,0,0,W,17,4,2022,3,P
3,2,3,3,0,1,0,0,0,0,V,12,0,2022,3,P
3,0,0,0,0,0,0,0,0,0,BI,3,0,2022,3,U
2,2,3,1,0,1,0,0,0,0,W,9,0,2022,3,P
3,2,3,2,3,3,0,0,2,0,N,16,2,2022,3,P
0,3,0,3,0,1,0,0,0,0,N,7,0,2022,3,U
0,0,3,0,0,0,0,0,0,0,D,3,0,2022,3,U
2,3,0,3,3,1,2,2,0,0,E,12,4,2022,3,P
1,0,3,0,0,0,0,0,0,0,V,4,0,2022,3,U
2,3,1,2,3,2,3,1,0,0,N,13,4,2022,3,P
3,2,3,3,0,2,0,0,0,0,W,13,0,2022,3,P
3,3,2,2,3,3,0,1,0,0,N,16,1,2022,3,P
1,2,0,0,0,0,0,0,0,0,L,3,0,2022,3,U
1,1,3,0,0,0,0,0,0,0,V,5,0,2022,3,U
3,0,0,0,0,0,0,0,0,0,W,3,0,2022,3,U
3,2,3,1,0,1,0,0,0,0,K,10,0,2022,3,P
2,3,3,3,1,2,0,0,0,0,I,14,0,2022,3,P
1,1,0,0,2,0,0,0,0,0,W,4,0,2022,3,U
2,3,3,3,3,2,3,1,0,0,E,16,4,2022,3,P
2,0,3,0,3,1,0,0,0,0,E,9,0,2022,3,U
2,0,0,0,0,1,0,0,0,0,E,3,0,2022,3,U
1,2,2,3,3,0,0,1,0,0,L,11,1,2022,3,P
0,2,0,0,0,1,0,0,0,0,E,3,0,2022,3,U
3,3,3,3,0,2,0,0,0,0,BI,14,0,2022,3,P
2,1,3,0,3,1,0,0,0,0,B,10,0,2022,3,P
0,2,0,2,0,2,0,0,0,0,E,6,0,2022,3,U
1,0,0,0,0,0,0,0,0,0,BI,1,0,2022,3,U
3,3,3,3,3,2,2,2,2,0,L,17,6,2022,3,P
2,2,0,1,3,2,1,1,0,0,-,10,2,2022,3,P
3,1,0,3,2,2,0,0,0,0,N,11,0,2022,3,P
2,2,0,3,3,2,0,0,0,0,V,12,0,2022,3,P
2,0,1,0,0,0,0,0,0,0,K,3,0,2022,3,U
2,1,0,2,3,1,0,0,0,0,W,9,0,2022,3,P
0,0,3,0,1,0,0,0,0,0,E,4,0,2022,3,U
1,2,3,3,3,2,0,0,0,0,V,14,0,2022,3,P
3,3,1,3,1,2,0,0,0,0,W,13,0,2022,3,P
2,1,3,0,3,1,0,0,0,0,V,10,0,2022,3,P
3,3,3,1,0,2,0,0,0,0,BI,12,0,2022,3,P
1,0,0,0,0,0,0,0,0,0,BI,1,0,2022,3,U
2,3,3,3,3,2,2,0,0,0,E,16,2,2022,3,P
3,2,0,2,0,0,0,0,0,0,L,7,0,2022,3,U
0,1,0,3,2,0,0,0,0,0,V,6,0,2022,3,U
3,3,3,3,3,2,3,2,0,0,I,17,5,2022,3,P
1,1,2,2,3,0,0,0,0,0,-,9,0,2022,3,P
3,2,3,2,0,1,0,0,0,0,E,11,0,2022,3,P
1,1,0,0,2,0,0,0,0,0,V,4,0,2022,3,U
2,1,0,0,0,0,0,0,0,0,K,3,0,2022,3,U
2,0,0,0,0,0,0,0,0,0,K,2,0,2022,3,U
3,1,0,3,3,1,0,0,0,0,V,11,0,2022,3,P
3,3,3,3,2,3,3,1,3,0,K,17,7,2022,3,P
1,0,3,0,0,0,0,0,0,0,E,4,0,2022,3,U
3,1,1,0,3,0,0,0,0,0,K,8,0,2022,3,U
3,0,0,0,0,0,0,0,0,0,K,3,0,2022,3,U
3,2,3,2,0,2,0,0,0,0,E,12,0,2022,3,P
0,0,3,1,2,1,0,0,0,0,PI,7,0,2022,3,U
3,1,3,3,3,0,3,2,0,0,B,13,5,2022,3,P
2,1,1,3,3,2,0,0,0,0,V,12,0,2022,3,P
3,2,3,3,0,2,0,1,0,0,W,13,1,2022,3,P
0,1,1,0,0,0,0,0,0,0,N,2,0,2022,3,U
2,3,3,3,3,2,0,0,0,0,B,16,0,2022,3,P
0,0,3,0,0,0,0,0,0,0,N,3,0,2022,3,U
3,2,3,2,3,2,0,0,0,0,W,15,0,2022,3,P
1,2,2,0,2,0,0,0,0,0,V,7,0,2022,3,U
2,2,2,3,0,3,1,2,0,0,E,12,3,2022,3,P
2,1,0,0,3,0,0,0,0,0,L,6,0,2022,3,U
1,0,1,1,3,0,0,0,0,0,V,6,0,2022,3,U
1,0,1,0,0,0,0,0,0,0,K,2,0,2022,3,U
3,2,3,3,3,2,0,0,0,0,L,16,0,2022,3,P
2,1,3,2,0,1,0,0,0,0,L,9,0,2022,3,P
1,0,0,0,0,0,0,0,0,0,BI,1,0,2022,3,U
